jiŋ wɵrt	jiŋ wɵrta	subs;DLAT
jiŋ wɵrt	jiŋ wɵrtət	subs;PL
jiŋ χʉλ	jiŋ χʉλ	subs
jiŋk	jiŋk	subs
jiŋk	jiŋka	subs;DLAT
jiŋk	jiŋki	subs;PROPR
jiŋk	jiŋkən	subs;LOC
jiŋk	jiŋkət	subs;PL
jiŋk	jiŋkəŋ	subs;PROPR
jiŋk	jiŋkəλ	subs;SG<3SG
jiŋk	jiŋkɛm	subs;SG<1SG
jiŋk	jiŋkɛŋ	subs;PROPR
jiŋk	jiŋn	subs;LOC
jiŋk wʉj	jiŋk wʉj	subs
jiλəp	jiλəp	adj
jă	jă	interj
jă wăt	jă wăt	ptcl
jăj	jăjλaλ	subs;PL<3SG
jăk	jăk	subs
jăk	jăksa	v;PST;PASS[3SG]
jăk	jăkti	v;INF
jăk	jăkti	v;PTCP.PRS
jăk	jăkət	subs;PL
jăk	jăkətən	subs;PL;LOC
jăk	jăkəλ	v;PRS[3SG]
jăk χʉt	jăk χʉt	subs
jăk χʉt	jăk χʉta	subs;DLAT
jăk χʉt	jăk χʉteλ	subs;SG<3SG
jăk χʉt	jăk χʉtən	subs;LOC
jăkijəλ	jăkijəλλət	v;PRS;3PL
jăkɛmiλ	jăkɛmiλajje	v;IMP.2SG_ filling_syllable
jăsəŋ	jăsəŋ	subs
jăsəŋ	jăsəŋa	subs;DLAT
jăńś	jăńśi	v
jăńś	jăńśmeλ	v;PTCP.PST;3SG
jăńś	jăńśsət	v;PST;3PL
jăńś	jăńśəm	v;PTCP.PST
jăńś	jăńśəs	v;PST[3SG]
jăńś	jăńśət	v;3PL
jăńś	jăńśəλəmən	v;PRS;1DU
jăńś	jăńλət	v;PRS;3PL
jăńś	jăńλəλλe	v;PRS;SG<3SG
jăńś	jăśsət	v;PST;3PL
jăńś	jăśsəŋən	v;PST;3DU
jăńś	jăśət	v;3PL
jăńλˊśə	jăńλˊśaλən	v;IMP.SG<2DU
jăńλˊśə	jăńλˊśəsijət	v;PST;PASS;3PL
jăńλˊśə	jăńλˊśəti	v;INF
jăńλˊśə+sp.var.	jańəlśəsijŋən	v;PST;PASS;3DU
jăŋ	jăŋ	cardnum
jɛkər	jɛkrət	subs;PL
jɛkər χʉməs	jɛkər χʉmsətən	subs;tussock;PL;LOC
jɛməŋ	jɛməŋ	adj
jɛrt	jɛrtəm	v;PTCP.PST
jɛrt	jɛrtλən	v;PRS;2SG
jɛtnətən	jɛtnətən	adv
jɛtšə	jɛtšəm	v;PTCP.PST
jɛtšə	jɛtšəmaλ	v;PTCP.PST;3SG
jɛtšə	jɛtšəs	v;done;PST[3SG]
jɛtən	jɛtna	subs;DLAT
jɛtən	jɛtən	subs
jɛw	jɛwən	subs;LOC
jɛw	jɛwətən	subs;PL;LOC
jɛŋk	jɛŋk	adj
jɛŋk	jɛŋk	subs
jɛŋk	jɛŋka	subs;DLAT
jɛśaλt	jɛśaλt	adv
jɛša	jɛša	adv
jɛša wɵλ	jɛša wɵλ	adv
jɛša wɵλ+dial.var.	jɛša wɵt	adv
jɛλ pɛlək	jɛλ pɛlkəλ	subs;SG<3SG
jɛλ pɛlək	jɛλ pɛləkən	subs;LOC
jɛλ šɵšəm	jɛλ šɵšməs	v;PST[3SG]
jɛλi	jɛλi	adv
jɛλi man	jɛλi manti	v;INF
jɛλi ńɵχəm	jɛλi ńɵχmes	v;PST[3SG]
jɛλi ńɵχəm	jɛλi ńɵχməs	v;PST[3SG]
jɛλi šɵšəm	jɛλi šɵšməs	v;PST[3SG]
jɛλi λăλˊəs	jɛλi λăλˊəsti	v;INF
jɛλi χɵχəλmə	jɛλi χɵχəλməλtən	v;PRS;2DU
jɛλmaš	jɛλmašλaλ	subs;PL<3SG
jɛλpi	jɛλpeλən	pstp;3SG;LOC
jɛλpijən	jɛλpijən	pstp
jɛλλi	jɛλλi	prvb
jɛλλi pɵrλə+dial.var.	jɛtti pɵrtəsət	v;PST;3PL
jɛλλi rʉtəm	jɛλλi rʉtəmsət	v;PST;3PL
jɛλλi tɵ	jɛλ tɵti	v;INF
jɛλλi tɵ	jɛλλi tɵti	v;INF
jɛλλi ʉwət	jɛλλi ʉwtəs	v;PST[3SG]
jɵm jʉχ	jɵm jʉχ	subs
jɵr	jɵr	adj
jɵr	jɵr	subs
jɵr	jɵra	adj;DLAT
jɵr	jɵra	subs;DLAT
jɵr	jɵren	subs;SG<2SG
jɵr	jɵrŋən	adj;DU
jɵr	jɵršək	adj;DIM.MEL
jɵr	jɵrən	subs;LOC
jɵr	jɵrət	subs;SG<3SG
jɵr	jɵrəλ	subs;SG<3SG
jɵr	jɵrλəmən	subs;PL<1DU
jɵrəŋ	jɵrəŋ	adj
jɵrəŋ	jɵrəŋa	adj;DLAT
jɵš	jɵš	subs
jɵš	jɵša	subs;DLAT
jɵš	jɵšəλ	subs;SG<3SG
jɵš	jɵšəλa	subs;SG<3SG;DLAT
jɵš	jɵšɛm	subs;SG<1SG
jɵχət	jɵχət	adj
jɵχəλ	jɵχəλ	subs
jɵχəλ	jɵχəλλaλ	subs;PL<3SG
jɵχəλ	jɵχλət	subs;PL
jʉkan	jʉkan	adj
jʉkan	jʉkansa	v;PST;PASS[3SG]
jʉkan	jʉkanλajəm	v;PRS;PASS;1SG
jʉkana	jʉkana	adv
jʉkana	jʉkana	pstp
jʉkant	jʉkantəm	v;PTCP.PST
jʉlχət	jʉlχətλəλλe	v;PRS;PL<3SG
jʉnt	jʉnt	subs
jʉnt	jʉntman	v;CVB
jʉnt	jʉntəm	v;PTCP.PST
jʉnt	jʉntət	subs;PL
jʉnt	jʉtsa	v;PST;PASS[3SG]
jʉntəs	jʉntəsman	v;CVB
jʉntəs	jʉntəsəλ	v;PRS
jʉpijən	jʉpijən	pstp
jʉrn	jʉrnət	subs;PL
jʉrən χir	jʉran χirəλ	subs;SG<3SG
jʉrən χir	jʉrən χir	subs
jʉrən χir	jʉrən χirəλ	subs;SG<3SG
jʉwrəs	jʉwrəsəm	v;PTCP.PST
jʉwtəs	jʉwtəsəλ	v;PRS[3SG]
jʉwənt	jʉwəntijən	v;LOC
jʉwərλə	jʉwraλəλi	v;PRS;PASS[3SG]
jʉwəλ+dial.var.	jʉwətt	v;PRS[3SG]
jʉwəλ+dial.var.	jʉwəttət	v;PRS;3PL
jʉwəλmə	jʉwəλməsλe	v;PST;SG<3SG
jʉwəλmə+dial.var.	jʉwətməsət	v;PST;3PL
jʉš	jʉš	subs
jʉš	jʉša	subs;DLAT
jʉš	jʉšew	subs;SG<1PL
jʉš	jʉšijen	subs;DIM.MEL;SG<2SG
jʉš	jʉšŋəλ	subs;DU<3SG
jʉš	jʉšən	subs;LOC
jʉš	jʉšəŋ	subs;PROPR
jʉš	jʉšəλ	subs;SG<3SG
jʉš	jʉšəλa	subs;SG<3SG;DLAT
jʉš	jʉšəλən	subs;SG<3SG;LOC
jʉš	jʉšɛm	subs;SG<1SG
jʉš	jʉšλən	subs;PL<3DU
jʉš lămp	jʉš lămp	subs
jʉš wʉtat	jʉš wʉtat	subs
jʉša păwət	jʉša păwətsa	v;PST;PASS[3SG]
jʉλta	jʉλta	adv
